Ligne (ID),Ligne_nom_court,Date de début de validité,Résolution,Image
67,67,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/9e9e6e628f6d41d458b70567240fe174
78,78,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ff908ffa199ba56aa35c654b5c5d34e0
157,157ex,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/6c3cdc5923617c9a3dfd34d829a32752
168,168ex,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a64e4f5bb34a1622c4396012cc7abd72
203,203,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/72a8cac988e8f2057764cf81a873ad59
211,211,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/5341b9ca0ae0df3391ed0bdbed644d34
213,213,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/da2dd4c535fa1ea8d462ae5e927b360d
215,215,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ddcd614d0644c2e49dd714575b466c3b
221,221,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0899443ab06e19377d2d6ac5c610c883
222,222,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/4c77ec88a6aa6c2b8995fe2f810f31e0
226,226,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/85dc82588d46d16cfe96bc3711288b12
229,229,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a664686bda23f5ce8c022ffb3efc4745
233,233,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/8675739c8ca70457bce6895c1e62bc5b
236,236,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/5a78b624213108a4f83a0e4601d5d069
240,240,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/b01b44aa2a9abe47bc40f1f2123c9887
242,242,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/f587fc227a471410df7bdca3a23c6834
244,244,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a9d3cb602aafa5ddbb14fd6a8c1c42ba
403,Ts3,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/31816adb31a4712f80e6509cdea8d135
412,Ts12,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0ca2a26c6b8cec440c823485badcde99
